trimestre,taxa,tendencia_bra
1º trimestre 2012,"8,0","6,41436195287755"
2º trimestre 2012,"7,6","6,602622209609106"
3º trimestre 2012,"7,1","6,791873490120113"
4º trimestre 2012,"6,9","6,983730179309016"
1º trimestre 2013,"8,1","7,179999241142936"
2º trimestre 2013,"7,5","7,382435308226922"
3º trimestre 2013,"7,0","7,593368013640305"
4º trimestre 2013,"6,3","7,815200468394773"
1º trimestre 2014,"7,2","8,04996492849349"
2º trimestre 2014,"6,9","8,298746649646871"
3º trimestre 2014,"6,9","8,562099659485034"
4º trimestre 2014,"6,6","8,839703768982057"
1º trimestre 2015,"8,0","9,130199976824848"
2º trimestre 2015,"8,4","9,4308294668447"
3º trimestre 2015,"9,0","9,738127047887396"
4º trimestre 2015,"9,1","10,047983260381931"
1º trimestre 2016,"11,1","10,355827315352382"
2º trimestre 2016,"11,4","10,656495934285074"
3º trimestre 2016,"11,9","10,945290946594247"
4º trimestre 2016,"12,2","11,217978871735212"
1º trimestre 2017,"13,9","11,470922922321659"
2º trimestre 2017,"13,1","11,701100074172432"
3º trimestre 2017,"12,5","11,907005476279924"
4º trimestre 2017,"11,9","12,088008590090173"
1º trimestre 2018,"13,2","12,243849498626538"
2º trimestre 2018,"12,6","12,374150779543575"
3º trimestre 2018,"12,0","12,479132604559199"
4º trimestre 2018,"11,7","12,559156301154104"
1º trimestre 2019,"12,8","12,614283738931139"
2º trimestre 2019,"12,1","12,644039814804927"
3º trimestre 2019,"11,9","12,648065498353251"
4º trimestre 2019,"11,1","12,625661734269647"
1º trimestre 2020,"12,4","12,575661926311192"
2º trimestre 2020,"13,6","12,495945939651035"
3º trimestre 2020,"14,9","12,38428385075839"
4º trimestre 2020,"14,2","12,239135769890193"
1º trimestre 2021,"14,9","12,060534129896661"
2º trimestre 2021,"14,2","11,84973690377183"
3º trimestre 2021,"12,6","11,609776730678558"
4º trimestre 2021,"11,1","11,345155164214843"
1º trimestre 2022,"11,1","11,06099264752201"
2º trimestre 2022,"9,3","10,762256401763757"
3º trimestre 2022,"8,7","10,453938027699074"
4º trimestre 2022,"7,9","10,140115215835852"
1º trimestre 2023,"8,8","9,823769445414664"
2º trimestre 2023,"8,0","9,506482123666187"
